Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0603_1608Metric,127.8,-81.3,0.0,top
C10,100n,C_0402_1005Metric,130.525,-65.0,180.0,top
C11,100n,C_0402_1005Metric,138.325,-62.0475,90.0,top
C12,100n,C_0402_1005Metric,135.95,-93.2,-90.0,top
C2,100n,C_0402_1005Metric,128.2,-82.7,0.0,top
C3,100n,C_0402_1005Metric,136.8,-85.5,-90.0,top
C4,100n,C_0402_1005Metric,133.9,-94.25,180.0,top
C5,100n,C_0402_1005Metric,125.2,-84.9,90.0,top
C6,10n,C_0402_1005Metric,125.2,-89.1,90.0,top
C7,1u,C_0402_1005Metric,124.0,-89.1,90.0,top
C8,1u,C_0402_1005Metric,122.8,-89.1,90.0,top
C9,100n,C_0402_1005Metric,124.925,-60.6,180.0,top
D1,LED,LED_0603_1608Metric,118.1125,-97.1,0.0,top
R1,10k,R_0402_1005Metric,107.8,-94.15,90.0,top
R2,10k,R_0402_1005Metric,133.16,-78.9,0.0,top
R3,10k,R_0402_1005Metric,130.96,-78.9,180.0,top
R4,2M,R_0603_1608Metric,117.95,-90.3,-90.0,top
R5,1M,R_0402_1005Metric,117.95,-92.9,-90.0,top
R6,220r,R_0402_1005Metric,120.5,-97.1,-90.0,top
U1,STM32U031C8Tx,LQFP-48_7x7mm_P0.5mm,131.0,-88.5,270.0,top
U2,SHT4x,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,124.925,-62.4,90.0,top
U3,STC31-C-R3,XDCR_STC31-C-R3,130.0,-62.0,270.0,top
U5,MS5607-02BA,LGA-8_3x5mm_P1.25mm,135.875,-62.125,180.0,top
