Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0603_1608Metric",99.900000,-76.000000,0.000000,top
"C2","100n","C_0402_1005Metric",100.500000,-77.500000,0.000000,top
"C3","100n","C_0402_1005Metric",109.300000,-80.500000,-90.000000,top
"C4","100n","C_0402_1005Metric",106.400000,-89.100000,180.000000,top
"C5","10n","C_0402_1005Metric",97.700000,-84.050000,90.000000,top
"C6","1u","C_0402_1005Metric",94.250000,-84.800000,180.000000,top
"C7","1u","C_0402_1005Metric",94.250000,-83.450000,180.000000,top
"C8","100n","C_0402_1005Metric",97.750000,-79.750000,90.000000,top
"C11","100n","C_0402_1005Metric",116.205000,-75.725000,90.000000,top
"CO2","USEQGSEAC82180","USEQGSEAC82180",112.055000,-75.250000,90.000000,top
"CottonCandy","Conn_01x04","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",99.250000,-97.250000,0.000000,top
"D1","LED","LED_0402_1005Metric",92.117500,-90.550000,0.000000,top
"FB1","120R","L_0603_1608Metric",96.050000,-84.050000,90.000000,top
"J4","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",86.800000,-63.675000,0.000000,top
"J5","Conn_01x15","PinHeader_1x15_P2.54mm_Vertical",120.850000,-63.710000,0.000000,top
"PWR","Conn_01x03","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",87.750000,-97.250000,0.000000,top
"R1","1k5","R_0402_1005Metric",113.800000,-81.050000,0.000000,top
"R2","1k5","R_0402_1005Metric",111.860000,-81.050000,180.000000,top
"R3","1k5","R_0402_1005Metric",94.450000,-90.600000,0.000000,top
"STLink","Conn_ST_STDC14","PinHeader_2x07_P1.27mm_Vertical_SMD",105.000000,-66.800000,-90.000000,top
"U1","STM32U031C8Tx","LQFP-48_7x7mm_P0.5mm",103.500000,-83.340000,0.000000,top
